codigoEquipo,nombreEquipo
178999,DISTRITO 19
178020,INTER DE MADRID FS
178138,PANCETA F.C.
179189,SE�ORES LOBO
178152,WHITELIONS FC
178603,RACING BELLADONA
178347,CHICHOS
178358,CD ALMIRANTES
178579,BORRA- CHUZOS
179017,U.D. SPARTA DE MADRID 
179109,SXV7NFFOX 
177863,COSTA RICA Z
179017,U.D. SPARTA DE MADRID
182882,"EM ALUCHE FS ""Y"""
182851,"EM ALUCHE FS ""Z"""
182362,LA SALLE LA PALOMA B
181654,AFA JOAQUIN COSTA B
181942,AFA JOAQUIN COSTA A
182120,"ESCUELA MUNICIPAL ""LA FUNDI"""
179624,C.D.EL PARDO SALA
180359,CLUB DEPORTIVO VILLAAMIL
180071,ALGEBROS
179874,LOS HOMBRES DE SANTI
179275,La Fabrica
179661,PAR�LISIS
180237,9LK FC
180414,DAMASO FS
180070,THE NEW TKC
178562,LATAM FC
179885,CELTA DE VIRGOS
179871,V DE VENTILLA
179252,LA BOMBA
179923,RAYO KABANO
179865,CD BLUE LABEL
183251,TAJAMAR
183088,VIRGEN DEL CERRO CADETE A
183258,JUVENTUD VALLEKAS
178753,NUEVO SIN-LIMITE FUTSAL  ----  CD SIN-LIMITE FS
180303,VIRUS F5
178812,ENTREVIAS FUTSAL  ----   CD SIN-LIMITE FS
179358,DLMP F.C
180385,BLACKNANA F.C.
179882,BARRANCO FC
178459,ESCALERITAS FUTSAL  ---- CD SIN-LIMITE FS
180129,REAL VISO FS
180382,PATAPALOS
180214,MACEDONIA FC
178639,SIN-LIMITE FUTSAL  -----  CD SIN-LIMITE FS
179312,SANTO DOMINGO
180392,C.D.E. ATHLETIC FUTSAL 2012
180366,UD TRUHANES
180626,FUMANCIA C.F.
180408,OLYMPIK DE VALLECAS
180255,HCB YAYO VALLEKANO
179969,REAL MLC
183161,CDE LAS ROJAS - VALDECAS
182072,CD MARIO REYES LA PRESENTACI�N
183068,CDE PARQUE ROMA
183043,DEPORTIVO MADRID FUTSAL
183882,ESTUDIANTES FUTSAL
183237,MS JR
183238,ESCUELA DEPORTIVA HCB
183253,TAJAMAR
183202,VALLECAS CITY
181414,MURIALDO
183162,CDE LAS ROJAS - VALDECAS
183237,MS JR 
183773,LA MILAGROSA
182180,COLLEGE SPORT - ARS
182616,LICEO VERSALLES
183084,VIRGEN DEL CERRO ALEVIN B
182577,STELLA MARIS
