numeroPartido,jornada,fecha,hora,resultadoLocal,resultadoVisitante,programado,estado,codigoCompeticion,codigoFase,codigoEquipoLocal,codigoEquipoVisitante,codigoGrupo,codigoCampo
3,13,2026-02-07,12:00,5,1,1,F,8947,9890,178999,179189,27927,85
2,13,2026-02-07,11:00,3,1,1,F,8947,9890,178020,178603,27927,85
1,13,2026-02-07,10:00,6,0,1,N,8947,9890,178138,178152,27927,85
3,2,2025-10-25,12:00,3,4,1,F,8947,9890,179189,178999,27927,85
2,2,2025-10-25,11:00,12,2,1,F,8947,9890,178152,178138,27927,85
1,2,2025-10-25,10:00,0,2,1,F,8947,9890,178603,178020,27927,85
3,1,2025-10-18,12:00,1,2,1,F,8947,9890,178347,179109,27927,85
2,1,2025-10-18,11:00,0,4,1,F,8947,9890,178358,179017,27927,85
1,1,2025-10-18,10:00,2,7,1,F,8947,9890,178579,178152,27927,85
3,6,2025-11-29,12:00,17,0,1,F,8947,9890,179017,178138,27927,85
2,6,2025-11-29,11:00,10,0,1,F,8947,9890,179109,178603,27927,85
1,6,2025-11-29,10:00,2,4,1,F,8947,9890,178347,177863,27927,85
5,5,2025-11-22,14:00,7,1,1,F,8947,9890,178347,178152,27927,85
4,5,2025-11-22,13:00,2,5,1,F,8947,9890,178020,179017,27927,85
3,5,2025-11-22,12:00,2,0,1,F,8947,9890,178999,178579,27927,85
2,5,2025-11-22,10:00,4,1,1,F,8947,9890,177863,178358,27927,85
1,5,2025-11-22,11:00,0,8,1,F,8947,9890,178138,179109,27927,85
4,4,2025-11-15,13:00,4,0,1,F,8947,9890,178152,178603,27927,85
3,4,2025-11-15,12:00,3,2,1,F,8947,9890,179109,178020,27927,85
2,4,2025-11-15,11:00,3,5,1,F,8947,9890,179189,178138,27927,85
1,4,2025-12-27,10:00,3,6,1,F,8947,9890,179017,178999,27927,85
3,3,2025-11-01,12:00,3,5,1,F,8947,9890,178358,178152,27927,85
2,3,2025-11-01,11:00,3,1,1,F,8947,9890,178347,178579,27927,85
1,3,2025-11-01,10:00,2,0,1,F,8947,9890,177863,179017,27927,85
5,12,2026-01-31,14:00,0,2,1,F,8947,9890,178603,178999,27927,85
4,12,2026-01-31,13:00,0,3,1,F,8947,9890,179189,177863,27927,85
3,12,2026-01-31,12:00,1,4,1,F,8947,9890,179109,178347,27927,85
2,12,2026-01-31,11:00,2,3,1,F,8947,9890,179017,178358,27927,85
1,12,2026-01-31,10:00,5,4,1,F,8947,9890,178138,178020,27927,85
5,11,2026-01-24,14:00,1,5,1,F,8947,9890,178020,178152,27927,85
4,11,2026-01-24,13:00,3,2,1,F,8947,9890,179189,178347,27927,85
3,11,2026-01-24,12:00,0,10,1,F,8947,9890,178603,177863,27927,85
2,11,2026-01-24,11:00,3,4,1,F,8947,9890,178138,178999,27927,85
1,11,2026-01-24,10:00,6,2,1,F,8947,9890,179109,178358,27927,85
4,10,2026-02-14,13:00,0,0,1,A,8947,9890,178152,179017,27927,85
3,10,2026-02-14,12:00,0,0,1,A,8947,9890,178358,179189,27927,85
2,10,2026-02-14,11:00,0,0,1,A,8947,9890,178579,179109,27927,85
1,10,2026-02-14,10:00,0,0,1,A,8947,9890,178347,178603,27927,85
5,9,2026-01-10,14:00,2,5,1,F,8947,9890,179189,178579,27927,85
4,9,2026-01-10,13:00,1,7,1,F,8947,9890,178603,178358,27927,85
3,9,2026-01-10,12:00,1,3,1,F,8947,9890,178999,178152,27927,85
2,9,2026-01-10,11:00,1,4,1,F,8947,9890,178020,177863,27927,85
1,9,2026-01-10,10:00,4,3,1,F,8947,9890,178138,178347,27927,85
6,8,2026-02-14,09:00,0,0,1,A,8947,9890,177863,178999,27927,85
5,8,2026-03-28,09:00,0,0,1,A,8947,9890,178347,178020,27927,85
4,8,2025-12-20,13:00,7,3,1,F,8947,9890,178358,178138,27927,85
3,8,2025-12-20,12:00,2,1,1,F,8947,9890,178579,178603,27927,85
2,8,2025-12-20,11:00,1,2,1,F,8947,9890,178152,179109,27927,85
1,8,2025-12-20,10:00,4,1,1,F,8947,9890,179017,179189,27927,85
5,7,2025-12-13,14:00,1,2,1,F,8947,9890,178603,179017,27927,85
4,7,2025-12-13,13:00,2,4,1,F,8947,9890,178138,178579,27927,85
3,7,2025-12-13,12:00,3,5,1,F,8947,9890,178020,178358,27927,85
2,7,2025-12-13,11:00,2,3,1,F,8947,9890,178999,178347,27927,85
1,7,2025-12-13,10:00,3,2,1,F,8947,9890,177863,178152,27927,85
5,6,2025-11-29,14:00,2,4,1,F,8947,9890,178358,178999,27927,85
4,6,2025-11-29,13:00,0,1,1,F,8947,9890,178579,178020,27927,85
1,6,2026-03-13,16:45,0,0,1,A,8940,9862,182882,182890,29850,85
2,1,2025-11-21,18:00,6,0,1,F,8947,9890,182851,182229,27942,85
5,13,2026-02-07,14:00,0,0,1,S,8947,9890,178347,179017,27927,85
3,6,2026-02-14,16:30,0,0,1,A,8938,9854,182362,181627,27260,95
4,6,2026-02-14,15:30,0,0,1,A,8938,9854,181654,181918,27257,95
