nombreCampo,nombreDistrito,wikidata
Centro_Deportivo_Municipal_La_Fundi,Arganzuela,http://www.wikidata.org/entity/Q63191213
Plata_y_Castaaar_park,Arganzuela,http://www.wikidata.org/entity/Q6078000
Centro_Deportivo_Municipal_Aluche,Carabanchel,http://www.wikidata.org/entity/Q63191263
Centro_Deportivo_Municipal_Francisco_Fernandez_Ochoa,Carabanchel,http://www.wikidata.org/entity/Q63191262
Centro_Deportivo_Municipal_Gallur,Carabanchel,http://www.wikidata.org/entity/Q63191274
PABELLaN_3_FCO.FDEZ.OCHOA,Carabanchel,http://www.wikidata.org/entity/Q63191262
Centro_Deportivo_Municipal_Falix_Rubio,Centro,http://www.wikidata.org/entity/Q63191223
Centro_Deportivo_Municipal_Vicente_del_Bosque,Fuencarral-El_Pardo,http://www.wikidata.org/entity/Q63191252
Centro_Deportivo_Municipal_Aluche,Latina,http://www.wikidata.org/entity/Q63191263
Centro_Deportivo_Municipal_Francisco_Fernandez_Ochoa,Latina,http://www.wikidata.org/entity/Q63191262
Centro_Deportivo_Municipal_Gallur,Latina,http://www.wikidata.org/entity/Q63191274
Centro_Deportivo_Municipal_Gallur,Latina,http://www.wikidata.org/entity/Q63191274
Centro_Deportivo_Municipal_Gallur,Latina,http://www.wikidata.org/entity/Q63191274
PABELLaN_3_FCO.FDEZ.OCHOA,Latina,http://www.wikidata.org/entity/Q63191262
PABELLON_1_CIUDAD_DE_LOS_POETAS,Moncloa-Aravaca,http://www.wikidata.org/entity/Q28793905
Centro_Deportivo_Municipal_La_Elipa,Moratalaz,http://www.wikidata.org/entity/Q63191248
Centro_Deportivo_Municipal_Moratalaz,Moratalaz,http://www.wikidata.org/entity/Q85751287
Centro_Deportivo_Municipal_Moratalaz,Moratalaz,http://www.wikidata.org/entity/Q85751287
Centro_Deportivo_Municipal_Palomeras,Puente_de_Vallecas,http://www.wikidata.org/entity/Q63191260
Q135957017,Retiro,http://www.wikidata.org/entity/Q135957017
Centro_Deportivo_Municipal_Francisco_Fernandez_Ochoa,Salamanca,http://www.wikidata.org/entity/Q63191262
PABELLaN_3_FCO.FDEZ.OCHOA,Salamanca,http://www.wikidata.org/entity/Q63191262
Plata_y_Castaaar_park,Salamanca,http://www.wikidata.org/entity/Q6078000
Centro_Deportivo_Municipal_Falix_Rubio,Villaverde,http://www.wikidata.org/entity/Q63191223
Centro_Deportivo_Municipal_La_Fundi,Villaverde,http://www.wikidata.org/entity/Q63191213
Plata_y_Castaaar_park,Villaverde,http://www.wikidata.org/entity/Q6078000
Plata_y_Castaaar_park,Villaverde,http://www.wikidata.org/entity/Q6078000
