nombreDistrito,nombreCampo,totalPartidos
Moratalaz,Centro_Deportivo_Municipal_Moratalaz,292
Carabanchel,FaTBOL_7_1_FCO.FDEZ.OCHOA,285
Hortaleza,FaTBOL_7_1_FCO.FDEZ.OCHOA,285
Chamartan,CDM_LA_ELIPA_PISTA_EXTERIOR,269
Moratalaz,CDM_LA_ELIPA_PISTA_EXTERIOR,269
Salamanca,CDM_LA_ELIPA_PISTA_EXTERIOR,269
Vicalvaro,FaTBOL_7_1_FAUSTINA_VALLADOLID,260
Vicalvaro,FaTBOL_7_C2_MARGOT_MOLES,255
Retiro,Q135957017,230
Retiro,FaTBOL_7-1_LA_CHOPERA,218
Chamartan,Estadio_Chamartan,217
Ciudad_Lineal,CDM_CONCEPCIaN_PABELLaN_CUBIERTO,209
Puente_de_Vallecas,PISTA_3_PABELLaN_PALOMERAS,209
Chamartan,FaTBOL_7_PRADILLO,208
Fuencarral-El_Pardo,FaTBOL_7_PRADILLO,208
Latina,PISTA_2_BALONCESTO_ALUCHE_/_GR,207
Chambera,OID_PQ_SANTANDER:EXT:FS_-_CHAMBERI,205
Salamanca,CAMPO_FaTBOL-7_TORRESPAaA,200
Moratalaz,FaTBOL_7A_LA_ELIPA,199
Salamanca,FaTBOL_7A_LA_ELIPA,199
