nombreDistrito,estado,totalPartidos
Arganzuela,A,52
Arganzuela,F,662
Arganzuela,N,33
Arganzuela,S,18
Barajas,A,26
Barajas,F,520
Barajas,N,4
Barajas,S,25
Carabanchel,A,53
Carabanchel,F,1220
Carabanchel,N,56
Carabanchel,S,13
Centro,A,38
Centro,F,542
Centro,N,11
Centro,S,6
Chamartan,A,99
Chamartan,F,1730
Chamartan,N,72
Chamartan,S,18
Chambera,A,43
Chambera,F,488
Chambera,N,19
Ciudad_Lineal,A,65
Ciudad_Lineal,F,1219
Ciudad_Lineal,N,49
Ciudad_Lineal,S,4
Fuencarral-El_Pardo,A,42
Fuencarral-El_Pardo,F,1232
Fuencarral-El_Pardo,N,55
Fuencarral-El_Pardo,S,6
Hortaleza,A,52
Hortaleza,F,1319
Hortaleza,N,34
Hortaleza,S,5
Latina,A,79
Latina,F,1770
Latina,N,87
Latina,O,1
Latina,S,13
Moncloa-Aravaca,A,13
Moncloa-Aravaca,F,1207
Moncloa-Aravaca,N,54
Moncloa-Aravaca,S,2
Moratalaz,A,55
Moratalaz,F,1564
Moratalaz,N,62
Moratalaz,S,3
Puente_de_Vallecas,A,24
Puente_de_Vallecas,F,797
Puente_de_Vallecas,N,11
Puente_de_Vallecas,O,1
Retiro,A,75
Retiro,F,1062
Retiro,N,63
Salamanca,A,92
Salamanca,F,2652
Salamanca,N,97
Salamanca,S,13
San_Blas-Canillejas,A,64
San_Blas-Canillejas,F,622
San_Blas-Canillejas,N,27
San_Blas-Canillejas,S,23
Tetuan,A,39
Tetuan,F,493
Tetuan,N,7
Tetuan,S,6
Usera,A,4
Usera,F,434
Usera,N,13
Vicalvaro,A,35
Vicalvaro,F,706
Vicalvaro,N,22
Vicalvaro,S,6
Villa_de_Vallecas,A,37
Villa_de_Vallecas,F,446
Villa_de_Vallecas,N,7
Villa_de_Vallecas,S,2
Villaverde,A,55
Villaverde,F,672
Villaverde,N,41
Villaverde,S,19
