numero,nif,nome,tipo_entidade,deporte,web_modalidades,nome_especialidade,enderezo,direcion,codigo_postal,codigo_provincia,provincia,wikidata_provincias,codigo_concello,concello,wikidata_concellos,telefono1,telefono2,web,data_alta
C-15025,G19378843,CLUB DE BILLAR CHARLIE´S,CLUB DEPORTIVO,pool,http://www.wikidata.org/entity/Q3341285,,"AVDA. DE ASTURIAS, 36 BAIXO",AVDA. DE ASTURIAS,,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27018,A Fonsagrada,http://www.wikidata.org/entity/Q1465213,671989195,671989195,,2024-09-13
C-09135,G70083514,ASOCIACIÓN DEPORTIVA MIÑO,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,RUA R/ REAL 21,RUA R/ REAL,15630,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15048,Miño,http://www.wikidata.org/entity/Q1616112,670648360,981783302,,2006-11-30
C-02696,G15110026,URAL ESPAÑOL C.F.,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"RUA POLÍGONO INDUSTRIAL DA GRELA, RÚA GUTEMBERG 32 C, 1º OFICINA 2",RUA POLÍGONO INDUSTRIAL DA GRELA,15008,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15030,A Coruña,http://www.wikidata.org/entity/Q8757,981141433,687851266,,1990-06-08
C-04328,G32183865,SPORTING CELANOVA C.F.,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,PRAZA MAIOR 1,PRAZA MAIOR,32800,32,Ourense,http://www.wikidata.org/entity/Q95038,32024,Celanova,http://www.wikidata.org/entity/Q1605505,627360934,667747144,,1994-04-29
C-13989,G01703156,ASOCIACION GIMNASTICA LUCENSE,CLUB DEPORTIVO,kung fu,http://www.wikidata.org/entity/Q208607,,RUA MONTEFARO 1 6IZQ,RUA MONTEFARO,27003,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27028,Lugo,http://www.wikidata.org/entity/Q11125,642583322,607696808,,2020-07-10
,,,,association football,http://www.wikidata.org/entity/Q2736,,,,,,,,,,,,,,
,,,,basketball,http://www.wikidata.org/entity/Q5372,,,,,,,,,,,,,,
,,,,athletics,http://www.wikidata.org/entity/Q542,,,,,,,,,,,,,,
C-15024,,CLUBE PATINAXE ARTÍSTICO RIANXO,CLUB DEPORTIVO,skating,http://www.wikidata.org/entity/Q14300548,PATINAXE ARTÍSTICO,"LUGAR DE REGUEIRO, 46A.",LUGAR DE REGUEIRO,,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15072,Rianxo,http://www.wikidata.org/entity/Q835911,619672958,619672958,,2024-09-13
C-08098,G32320889,PIÑEIRA SECA FUTBOL CLUB,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"PIÑEIRA SECA, 1",PIÑEIRA SECA,,32,Ourense,http://www.wikidata.org/entity/Q95038,32032,Xinzo de Limia,http://www.wikidata.org/entity/Q918637,667427312,667427312,,2004-04-02
C-14512,G10987410,CLUB DE PATINAXE ARTÍSTICA ESPIRAL,CLUB DEPORTIVO,skating,http://www.wikidata.org/entity/Q14300548,,AVENIDA Avenida de Compostela 53,AVENIDA Avenida de Compostela,15900,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15065,Padrón,http://www.wikidata.org/entity/Q500494,659646608,670368107,,2022-09-07
C-14916,G16422693,UNIÓN DEPORTIVA COSTA FUTSAL,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,FÚTBOL SALA,"AVENIDA AVENIDA DA PASAXE,35, 1B",AVENIDA AVENIDA DA PASAXE,15006,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15030,A Coruña,http://www.wikidata.org/entity/Q8757,664721890,664721890,,2024-04-17
C-00411,G27515683,C. DE REMO CELEIRO,CLUB DEPORTIVO,rowing,http://www.wikidata.org/entity/Q159354,,RUA  RIBADEO 24,RUA  RIBADEO,27863,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27066,Viveiro,http://www.wikidata.org/entity/Q641221,609491111,609491111,,1984-11-28
C-14877,G70761853,CLUB XUVENTUDE LARACHA,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"AVENIDA AVENIDA FINISTERRE,30, BAIXO",AVENIDA AVENIDA FINISTERRE,15145,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15041,A Laracha,http://www.wikidata.org/entity/Q924043,670914224,615785234,,2024-02-19
C-15023,G70267067,CLUB NÁUTICO DEPORTIVO DE RAZO,CLUB DEPORTIVO,PESCA E CASTING,,,"LUIS CALVO,13, 1º",LUIS CALVO,,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15019,Carballo,http://www.wikidata.org/entity/Q166137,981703395,981703395,,2024-09-11
C-08439,G15987944,CLUB DE VELA PLAYA DE OZA,CLUB DEPORTIVO,sailing,http://www.wikidata.org/entity/Q14085739,,"RUA JUAN DIAZ PORLIER, 13",RUA JUAN DIAZ PORLIER,15004,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15030,A Coruña,http://www.wikidata.org/entity/Q8757,649289903,981978168,,2005-03-17
C-15022,G19926963,"WARRIORS FIGHT TEAM, MMA, CLUB",CLUB DEPORTIVO,KICKBOXING E MUAYTHAI,,"LIBRE OLÍMPICA, JIU-JITSU",PASEO FLUVIAL 7,PASEO FLUVIAL,15220,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15002,Ames,http://www.wikidata.org/entity/Q1353997,696996056,696996056,,2024-09-10
,,,,LOITA E D.A.,,,,,,,,,,,,,,,
,,,,boxing,http://www.wikidata.org/entity/Q32112,,,,,,,,,,,,,,
,,,,DEPORTE XERAL,,,,,,,,,,,,,,,
C-13029,,PORTONOVO VT 1979,CLUB DEPORTIVO,futsal,http://www.wikidata.org/entity/Q171401,,RÚA CANELAS Nº 4,RÚA CANELAS,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36051,Sanxenxo,http://www.wikidata.org/entity/Q840355,600889230,,,2017-08-21
,,,,association football,http://www.wikidata.org/entity/Q2736,,,,,,,,,,,,,,
C-14975,,SPORTING CRUCES,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"LUGAR A SEARA, Nº 6",LUGAR A SEARA,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36059,Vila de Cruces,http://www.wikidata.org/entity/Q1607479,628894858,628894858,,2024-07-15
C-06148,,C. NÁUTICO ILLA DE SAN SIMÓN,CLUB DEPORTIVO,sailing,http://www.wikidata.org/entity/Q14085739,PESCA DEPORTIVA,"PEIRAO DE CESANTES, 34-DEPARTAMENTOS 21 - 22",PEIRAO DE CESANTES,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36045,Redondela,http://www.wikidata.org/entity/Q833032,986403012,,,1999-03-22
,,,,rowing,http://www.wikidata.org/entity/Q159354,,,,,,,,,,,,,,
,,,,PESCA E CASTING,,,,,,,,,,,,,,,
C-14255,,A DO CUÑADO NOVO MESOIRO,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"AVENIDA NOVO MESOIRO, 5, BAIXO, ESQUERDA",AVENIDA NOVO MESOIRO,,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15030,A Coruña,http://www.wikidata.org/entity/Q8757,653919404,661452396,,2021-09-15
C-13921,,CLUB BILLAR NA LUA,CLUB DEPORTIVO,pool,http://www.wikidata.org/entity/Q3341285,,CARRETERA DE VIGO 34,CARRETERA DE VIGO,36800,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36045,Redondela,http://www.wikidata.org/entity/Q833032,653901234,,,2020-02-17
C-04393,G36218436,VEA C.F.,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,NOGUEIRA,NOGUEIRA,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36017,A Estrada,http://www.wikidata.org/entity/Q1621191,986570345,,,1994-07-08
C-00213,G36048601,CLUB NÁUTICO COBRES,CLUB DEPORTIVO,sailing,http://www.wikidata.org/entity/Q14085739,,PEIRAO DE SANTA CRISTINA DE COBRES SN,PEIRAO DE SANTA CRISTINA DE COBRES SN,36142,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36058,Vilaboa,http://www.wikidata.org/entity/Q377426,676230369,,,1984-03-27
,,,,canoeing and kayaking,http://www.wikidata.org/entity/Q213934,,,,,,,,,,,,,,
C-00490,G36148310,S. D. BANDEIRA C. DE FUTBOL,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"RÚA VISTA ALEGRE, Nº 16",RÚA VISTA ALEGRE,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36052,Silleda,http://www.wikidata.org/entity/Q1607540,986585550,,,1985-03-08
C-09109,,ESCOLAS DEPORTIVAS DE SALVATERRA,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"PRAZA DA CONSTITUCIÓN, 1",PRAZA DA CONSTITUCIÓN,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36050,Salvaterra de Miño,http://www.wikidata.org/entity/Q1629539,638717391,,,2006-11-06
C-03367,,C. UNION D. RIBERA,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,LUGAR A MATA S/N,LUGAR A MATA,36770,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36048,O Rosal,http://www.wikidata.org/entity/Q603015,649322417,,,1991-12-23
C-13164,G32490963,SOCIEDAD DE CAZA TECOR 20.001,CLUB DEPORTIVO,CAZA,,,"R/ A FIGUEIRA, Nº1",R/ A FIGUEIRA,,32,Ourense,http://www.wikidata.org/entity/Q95038,32092,Vilariño de Conso,http://www.wikidata.org/entity/Q1629552,649404991,649404991,,2018-01-16
C-15021,,PECHACANCELAS F.S,CLUB DEPORTIVO,futsal,http://www.wikidata.org/entity/Q171401,,"RÚA ALMIRANTE MOURELLE, Nº: 12",RÚA ALMIRANTE MOURELLE,,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15030,A Coruña,http://www.wikidata.org/entity/Q8757,687356547,687356547,,2024-09-09
C-06960,G27268721,SOCIEDADE DEPORTIVA DE CAZADORES O NOSO,CLUB DEPORTIVO,CAZA,,,"AIROA, 2",AIROA,,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27012,Cervantes,http://www.wikidata.org/entity/Q1603003,660434408,660434408,,2001-03-27
C-12301,G70455928,CLUB DEPORTIVO NARÓN,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"RUA VIDRIEROS, PARCELA W21, POLÍGONO INDUSTRIAL RÍO DO POZO , S4",RUA VIDRIEROS,15578,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15054,Narón,http://www.wikidata.org/entity/Q1368896,981344383,617410861,wwwcdnaron.com,2015-06-10
C-06962,G15783855,SOCIEDADE DEPORTIVA DE CAZADORES SAN ANTONIO,CLUB DEPORTIVO,CAZA,,,RUA FALPERRA 15-17 5ºB,RUA FALPERRA,15005,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15030,A Coruña,http://www.wikidata.org/entity/Q8757,66764474,,,2001-03-27
