NÚMERO;NIF;DENOMINACION;TIPO_ENTIDADE;MODALIDADES;ESPECIALIDADES;ENDEREZO;CP;CÓDIGO ;PROVINCIA;CÓDIGO CONCELLO;CONCELLO;TELÉFONO 1;TELÉFONO 2;PÁXINA WEB;FECHA_ALTA
C-15025;G19378843;CLUB DE BILLAR CHARLIE´S;CLUB DEPORTIVO;BILLAR;; AVDA. DE ASTURIAS, 36 BAIXO;;27;LUGO;27018;FONSAGRADA, A;671989195;671989195;;13/09/2024
C-09135;G70083514;ASOCIACIÓN DEPORTIVA MIÑO;CLUB DEPORTIVO;FÚTBOL;; RUA R/ REAL 21;15630;15;A CORUÑA;15048;MIÑO;670648360;981783302;;30/11/2006
C-02696;G15110026;URAL ESPAÑOL C.F.;CLUB DEPORTIVO;FÚTBOL;; RUA POLÍGONO INDUSTRIAL DA GRELA, RÚA GUTEMBERG 32 C, 1º OFICINA 2;15008;15;A CORUÑA;15030;CORUÑA, A;981141433;687851266;;08/06/1990
C-04328;G32183865;SPORTING CELANOVA C.F.;CLUB DEPORTIVO;FÚTBOL;; PRAZA MAIOR 1;32800;32;OURENSE;32024;CELANOVA;627360934;667747144;;29/04/1994
C-13989;G01703156;ASOCIACION GIMNASTICA LUCENSE;CLUB DEPORTIVO;KUNG-FU, FÚTBOL, BALONCESTO, ATLETISMO;; RUA MONTEFARO 1 6IZQ;27003;27;LUGO;27028;LUGO;642583322;607696808;;10/07/2020
C-15024;;CLUBE PATINAXE ARTÍSTICO RIANXO;CLUB DEPORTIVO;PATINAXE;PATINAXE ARTÍSTICO; LUGAR DE REGUEIRO, 46A.;;15;A CORUÑA;15072;RIANXO;619672958;619672958;;13/09/2024
C-08098;G32320889;PIÑEIRA SECA FUTBOL CLUB;CLUB DEPORTIVO;FÚTBOL;; PIÑEIRA SECA, 1;;32;OURENSE;32032;XINZO DE LIMIA;667427312;667427312;;02/04/2004
C-14512;G10987410;CLUB DE PATINAXE ARTÍSTICA ESPIRAL;CLUB DEPORTIVO;PATINAXE;; AVENIDA Avenida de Compostela 53;15900;15;A CORUÑA;15065;PADRÓN;659646608;670368107;;07/09/2022
C-14916;G16422693;UNIÓN DEPORTIVA COSTA FUTSAL;CLUB DEPORTIVO;FÚTBOL;FÚTBOL SALA; AVENIDA AVENIDA DA PASAXE,35, 1B;15006;15;A CORUÑA;15030;CORUÑA, A;664721890;664721890;;17/04/2024
C-00411;G27515683;C. DE REMO CELEIRO;CLUB DEPORTIVO;REMO;; RUA  RIBADEO 24;27863;27;LUGO;27066;VIVEIRO;609491111;609491111;;28/11/1984
C-14877;G70761853;CLUB XUVENTUDE LARACHA;CLUB DEPORTIVO;FÚTBOL;; AVENIDA AVENIDA FINISTERRE,30, BAIXO;15145;15;A CORUÑA;15041;LARACHA, A;670914224;615785234;;19/02/2024
C-15023;G70267067;CLUB NÁUTICO DEPORTIVO DE RAZO;CLUB DEPORTIVO;PESCA E CASTING;; LUIS CALVO,13, 1º;;15;A CORUÑA;15019;CARBALLO;981703395;981703395;;11/09/2024
C-08439;G15987944;CLUB DE VELA PLAYA DE OZA;CLUB DEPORTIVO;VELA;; RUA JUAN DIAZ PORLIER, 13;15004;15;A CORUÑA;15030;CORUÑA, A;649289903;981978168;;17/03/2005
C-15022;G19926963;WARRIORS FIGHT TEAM, MMA, CLUB;CLUB DEPORTIVO;KICKBOXING E MUAYTHAI, LOITA E D.A., BOXEO, DEPORTE XERAL;LIBRE OLÍMPICA, JIU-JITSU; PASEO FLUVIAL 7;15220;15;A CORUÑA;15002;AMES;696996056;696996056;;10/09/2024
C-13029;;PORTONOVO VT 1979;CLUB DEPORTIVO;FÚTBOL SALA, FÚTBOL;; RÚA CANELAS Nº 4;;36;PONTEVEDRA;36051;SANXENXO;600889230;;;21/08/2017
C-14975;;SPORTING CRUCES;CLUB DEPORTIVO;FÚTBOL;; LUGAR A SEARA, Nº 6;;36;PONTEVEDRA;36059;VILA DE CRUCES;628894858;628894858;;15/07/2024
C-06148;;C. NÁUTICO ILLA DE SAN SIMÓN;CLUB DEPORTIVO;VELA, REMO, PESCA E CASTING;PESCA DEPORTIVA; PEIRAO DE CESANTES, 34-DEPARTAMENTOS 21 - 22;;36;PONTEVEDRA;36045;REDONDELA;986403012;;;22/03/1999
C-14255;;A DO CUÑADO NOVO MESOIRO;CLUB DEPORTIVO;FÚTBOL;; AVENIDA NOVO MESOIRO, 5, BAIXO, ESQUERDA;;15;A CORUÑA;15030;CORUÑA, A;653919404;661452396;;15/09/2021
C-13921;;CLUB BILLAR NA LUA;CLUB DEPORTIVO;BILLAR;; CARRETERA DE VIGO 34;36800;36;PONTEVEDRA;36045;REDONDELA;653901234;;;17/02/2020
C-04393;G36218436;VEA C.F.;CLUB DEPORTIVO;FÚTBOL;; NOGUEIRA;;36;PONTEVEDRA;36017;ESTRADA, A;986570345;;;08/07/1994
C-00213;G36048601;CLUB NÁUTICO COBRES;CLUB DEPORTIVO;VELA, PIRAGÜISMO;; PEIRAO DE SANTA CRISTINA DE COBRES SN;36142;36;PONTEVEDRA;36058;VILABOA;676230369;;;27/03/1984
C-00490;G36148310;S. D. BANDEIRA C. DE FUTBOL;CLUB DEPORTIVO;FÚTBOL;; RÚA VISTA ALEGRE, Nº 16;;36;PONTEVEDRA;36052;SILLEDA;986585550;;;08/03/1985
C-09109;;ESCOLAS DEPORTIVAS DE SALVATERRA;CLUB DEPORTIVO;FÚTBOL;; PRAZA DA CONSTITUCIÓN, 1;;36;PONTEVEDRA;36050;SALVATERRA DE MIÑO;638717391;;;06/11/2006
C-03367;;C. UNION D. RIBERA;CLUB DEPORTIVO;FÚTBOL;; LUGAR A MATA S/N;36770;36;PONTEVEDRA;36048;ROSAL, O;649322417;;;23/12/1991
C-13164;G32490963;SOCIEDAD DE CAZA TECOR 20.001;CLUB DEPORTIVO;CAZA;; R/ A FIGUEIRA, Nº1;;32;OURENSE;32092;VILARIÑO DE CONSO;649404991;649404991;;16/01/2018
C-15021;;PECHACANCELAS F.S;CLUB DEPORTIVO;FÚTBOL SALA;; RÚA ALMIRANTE MOURELLE, Nº: 12;;15;A CORUÑA;15030;CORUÑA, A;687356547;687356547;;09/09/2024
C-06960;G27268721;SOCIEDADE DEPORTIVA DE CAZADORES O NOSO;CLUB DEPORTIVO;CAZA;; AIROA, 2;;27;LUGO;27012;CERVANTES;660434408;660434408;;27/03/2001
C-12301;G70455928;CLUB DEPORTIVO NARÓN;CLUB DEPORTIVO;FÚTBOL;; RUA VIDRIEROS, PARCELA W21, POLÍGONO INDUSTRIAL RÍO DO POZO , S4;15578;15;A CORUÑA;15054;NARÓN;981344383;617410861;wwwcdnaron.com;10/06/2015
C-06962;G15783855;SOCIEDADE DEPORTIVA DE CAZADORES SAN ANTONIO;CLUB DEPORTIVO;CAZA;; RUA FALPERRA 15-17 5ºB;15005;15;A CORUÑA;15030;CORUÑA, A;66764474;;;27/03/2001
