concello,wikidata,concelloNombre,qid,label,coord,lat,lon,imagen,web
http://example.org/resource/concello/15001,http://www.wikidata.org/entity/Q318323,15001,Q318323,Abegondo,Point(-8.288333333 43.2275),43.2275,-8.288333333,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20Concello%20de%20Abegondo.jpg,http://www.abegondo.es
http://example.org/resource/concello/15002,http://www.wikidata.org/entity/Q1353997,15002,Q1353997,Ames,Point(-8.65 42.86),42.86,-8.65,http://commons.wikimedia.org/wiki/Special:FilePath/Bertamir%C3%A1ns%20-%20Ames%20GFDL19.jpg,https://www.concellodeames.gal
http://example.org/resource/concello/15002,http://www.wikidata.org/entity/Q1353997,15002,Q1353997,Ames,Point(-8.649594667 42.864976189),42.864976189,-8.649594667,http://commons.wikimedia.org/wiki/Special:FilePath/Bertamir%C3%A1ns%20-%20Ames%20GFDL19.jpg,https://www.concellodeames.gal
http://example.org/resource/concello/15002,http://www.wikidata.org/entity/Q1353997,15002,Q1353997,Ames,Point(-8.672325391 42.89015995),42.89015995,-8.672325391,http://commons.wikimedia.org/wiki/Special:FilePath/Bertamir%C3%A1ns%20-%20Ames%20GFDL19.jpg,https://www.concellodeames.gal
http://example.org/resource/concello/15003,http://www.wikidata.org/entity/Q1113417,15003,Q1113417,Aranga,Point(-8.015833333 43.233888888),43.233888888,-8.015833333,http://commons.wikimedia.org/wiki/Special:FilePath/ConcelloAranga.jpg,http://www.aranga.es/
http://example.org/resource/concello/15004,http://www.wikidata.org/entity/Q17416,15004,Q17416,Ares,Point(-8.2443445 43.4264195),43.4264195,-8.2443445,http://commons.wikimedia.org/wiki/Special:FilePath/Ares-ria18.jpg,http://www.concellodeares.gal
http://example.org/resource/concello/15005,http://www.wikidata.org/entity/Q996161,15005,Q996161,Arteijo,Point(-8.5 43.3),43.3,-8.5,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20concello%20de%20Arteixo.JPG,http://www.arteixo.org/
http://example.org/resource/concello/15006,http://www.wikidata.org/entity/Q651676,15006,Q651676,Arzúa,Point(-8.16 42.93),42.93,-8.16,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20consistorial%20de%20Arz%C3%BAa.jpg,http://www.concellodearzua.org/
http://example.org/resource/concello/15007,http://www.wikidata.org/entity/Q1183411,15007,Q1183411,La Baña,Point(-8.766666666 42.966666666),42.966666666,-8.766666666,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Ba%C3%B1a%2C%20concello%2001-01.jpg,https://concellodabana.gal/
http://example.org/resource/concello/15008,http://www.wikidata.org/entity/Q644018,15008,Q644018,Bergondo,Point(-8.233888888 43.319444444),43.319444444,-8.233888888,http://commons.wikimedia.org/wiki/Special:FilePath/Escalinata%20posterior%20Pazo%20Mari%C3%B1%C3%A1n%20II.jpg,http://www.concellodebergondo.com/
http://example.org/resource/concello/15009,http://www.wikidata.org/entity/Q671341,15009,Q671341,Betanzos,Point(-8.2106329 43.2791691),43.2791691,-8.2106329,http://commons.wikimedia.org/wiki/Special:FilePath/Iglesia%20de%20San%20Francisco%20de%20Betanzos.jpg,http://www.betanzos.es/
http://example.org/resource/concello/15010,http://www.wikidata.org/entity/Q692787,15010,Q692787,Boimorto,Point(-8.126944444 43.0075),43.0075,-8.126944444,http://commons.wikimedia.org/wiki/Special:FilePath/Igrexa%20de%20Santa%20Mar%C3%ADa%20de%20Sendelle%2C%20Boimorto.jpg,http://www.concellodeboimorto.es
http://example.org/resource/concello/15011,http://www.wikidata.org/entity/Q735282,15011,Q735282,Boiro,Point(-8.883333333 42.65),42.65,-8.883333333,http://commons.wikimedia.org/wiki/Special:FilePath/Barra%C3%B1a%20Boiro%20Galicia%20Spain%20GDFL017.jpg,http://www.boiro.org/
http://example.org/resource/concello/15012,http://www.wikidata.org/entity/Q1369014,15012,Q1369014,Boqueijón,Point(-8.416666666 42.816666666),42.816666666,-8.416666666,http://commons.wikimedia.org/wiki/Special:FilePath/Concello%20de%20Boqueix%C3%B3n.JPG,http://www.boqueixon.com
http://example.org/resource/concello/15013,http://www.wikidata.org/entity/Q1615466,15013,Q1615466,Brión,Point(-8.678333333 42.866666666),42.866666666,-8.678333333,http://commons.wikimedia.org/wiki/Special:FilePath/Bri%C3%B3n-Galicia%201.jpg,http://www.infobrion.com
http://example.org/resource/concello/15014,http://www.wikidata.org/entity/Q1368763,15014,Q1368763,Cabana de Bergantiños,Point(-8.914210959 43.1898049),43.1898049,-8.914210959,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20consistorial%20de%20Cabana%20de%20Berganti%C3%B1os.jpg,http://www.concello-cabana.com/
http://example.org/resource/concello/15015,http://www.wikidata.org/entity/Q974129,15015,Q974129,Cabañas,Point(-8.163801 43.421819),43.421819,-8.163801,http://commons.wikimedia.org/wiki/Special:FilePath/Cabanas.Ponte%20sobre%20o%20Eume.Galiza.jpg,http://cabanas.gal
http://example.org/resource/concello/15016,http://www.wikidata.org/entity/Q1373985,15016,Q1373985,Camariñas,Point(-9.185 43.13),43.13,-9.185,http://commons.wikimedia.org/wiki/Special:FilePath/Pleamar.jpg,https://camarinas.net/portal-cidadan/index/gl
http://example.org/resource/concello/15017,http://www.wikidata.org/entity/Q1113375,15017,Q1113375,Cambre,Point(-8.333333333 43.283333333),43.283333333,-8.333333333,http://commons.wikimedia.org/wiki/Special:FilePath/Cambre%20Galicia%20070330%2010.jpg,http://www.cambre.org
http://example.org/resource/concello/15017,http://www.wikidata.org/entity/Q1113375,15017,Q1113375,Cambre,Point(-8.333333333 43.283333333),43.283333333,-8.333333333,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Concello%20Cambre.jpg,http://www.cambre.org
http://example.org/resource/concello/15018,http://www.wikidata.org/entity/Q581926,15018,Q581926,Capela,Point(-8.072222222 43.435277777),43.435277777,-8.072222222,http://commons.wikimedia.org/wiki/Special:FilePath/Mosteiro%20de%20San%20Xo%C3%A1n%20de%20Caaveiro.Galicia-Espa%C3%B1a.jpg,http://www.concellodacapela.es
http://example.org/resource/concello/15019,http://www.wikidata.org/entity/Q166137,15019,Q166137,Carballo,Point(-8.683333333 43.216666666),43.216666666,-8.683333333,http://commons.wikimedia.org/wiki/Special:FilePath/Carballo%20Galicia%20005.jpg,http://www.carballo.gal
http://example.org/resource/concello/15020,http://www.wikidata.org/entity/Q1368813,15020,Q1368813,Carnota,Point(-9.087222222 42.821111111),42.821111111,-9.087222222,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20consistorial%20de%20Carnota.jpg,http://www.concellocarnota.com/
http://example.org/resource/concello/15021,http://www.wikidata.org/entity/Q601352,15021,Q601352,Carral,Point(-8.3559999 43.229551),43.229551,-8.3559999,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20Concello%20de%20Carral.JPG,https://www.carral.es/
http://example.org/resource/concello/15022,http://www.wikidata.org/entity/Q1113395,15022,Q1113395,Cedeira,Point(-8.05 43.65),43.65,-8.05,http://commons.wikimedia.org/wiki/Special:FilePath/Santoandr%C3%A9sdeteixido2.jpg,http://www.cedeira.es
http://example.org/resource/concello/15023,http://www.wikidata.org/entity/Q988707,15023,Q988707,Cee,Point(-9.19 42.955555555),42.955555555,-9.19,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20consistorial%20de%20Cee.jpg,https://www.cee.gal
http://example.org/resource/concello/15024,http://www.wikidata.org/entity/Q1369070,15024,Q1369070,Cerceda,Point(-8.470277777 43.188611111),43.188611111,-8.470277777,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Cascada.jpg,http://www.cerceda.es
http://example.org/resource/concello/15027,http://www.wikidata.org/entity/Q527259,15027,Q527259,Coirós,Point(-8.147059621 43.2461652),43.2461652,-8.147059621,http://commons.wikimedia.org/wiki/Special:FilePath/P1090465%20Centro%20sociocultural%20Coir%C3%B3s.JPG,http://www.coiros.es
