PROVINCIA,CODIGO_PROVINCIA,CONCELLO,CODIGO_CONCELLO,PRAIA,LUGAR_E_PARROQUIA,LONXITUDE,TIPO,TIPO_DE_AREA,COORDENADAS,Coordenada_X,Coordenada_Y,MAIS_INFORMACION_EN_TURGALICIA
A Coruña,15,Arteixo,15005,A Salsa,,20,Praia resgardada,Cantos rodados,43.320555/-8.525277,43.320555,-8.525277,http://www.turismo.gal/ficha-recurso?cod_rec=268679921
A Coruña,15,Arteixo,15005,Playa Valcovo,Valcovo - Arteixo (Santiago),300,Praia aberta,Fina,43.315444/-8.533555,43.315444,-8.533555,http://www.turismo.gal/ficha-recurso?cod_rec=10268
A Coruña,15,Arteixo,15143,Suevos,Suevos,20,Praia resgardada,Fina,43.35271/-8.48791,43.35271,-8.48791,https://www.turismo.gal/recurso/-/detalle/268643064/area-grande-suevos
A Coruña,15,Arteixo,15005,Combouzas,Barrañán - Barrañán (San Xián),300,Praia aberta,Fina,43.312667/-8.544277,43.312667,-8.544277,http://www.turismo.gal/ficha-recurso?cod_rec=10269
A Coruña,15,Arteixo,15005,Barrañán,Barrañán - Barrañán (San Xián),1200,Praia aberta,Fina,43.311556/-8.552,43.311556,-8.552,http://www.turismo.gal/ficha-recurso?cod_rec=9861
A Coruña,15,Arteixo,15005,Sabón,Sabón - Oseiro (San Tirso),900,Praia aberta,Fina,43.327694/-8.508833,43.327694,-8.508833,http://www.turismo.gal/ficha-recurso?cod_rec=9859
A Coruña,15,Bergondo,15008,Gandarío,Gandarío - Ouces (San Xoán),800,Praia resgardada,Fina,43.342715/-8.2424927,43.342715,-8.2424927,http://www.turismo.gal/ficha-recurso?cod_rec=10120
A Coruña,15,Camariñas,15016,Arou,Arou - Camelle (O Espírito Santo),400,Praia aberta,Fina,43.18472300/-9.10500000,43.18472300,-9.10500000,http://www.turismo.gal/recurso/-/detalle/10290/arou
A Coruña,15,Carballo,15019,Baldaio beach,,3600,Praia aberta,Fina,43.298027/-8.680305,43.298027,-8.680305,http://www.turismo.gal/ficha-recurso?cod_rec=268649359  
A Coruña,15,Carballo,15019,Pedra do Sal,,3600,Praia aberta,Fina,43.301889/-8.658278,43.301889,-8.658278,http://www.turismo.gal/ficha-recurso?cod_rec=268882051  
