nombre,provincia,codigo,wikidata,qid,poblacion,superficie,web,imagen
A Coruña,A Coruña,15030,http://www.wikidata.org/entity/Q8757,Q8757,251543,37.83,https://www.coruna.gal/,http://commons.wikimedia.org/wiki/Special:FilePath/Enseada%20do%20Orz%C3%A1n.jpg
A Laracha,A Coruña,15041,http://www.wikidata.org/entity/Q924043,Q924043,11781,125.95,https://www.alaracha.gal/,http://commons.wikimedia.org/wiki/Special:FilePath/Cai%C3%B3n%2C%20Galicia%20%28Spain%29.jpg
A Pobra Do Caramiñal,A Coruña,15940,http://www.wikidata.org/entity/Q300525,Q300525,9126,34,http://www.apobra.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Pobra%20GDFL%200507%20014.JPG
Arteixo,A Coruña,15143,http://www.wikidata.org/entity/Q996161,Q996161,34403,93.76,http://www.arteixo.org/,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20concello%20de%20Arteixo.JPG
As Pontes De García Rodríguez,A Coruña,15320,http://www.wikidata.org/entity/Q1442761,Q1442761,9796,249.4,http://www.aspontes.com,http://commons.wikimedia.org/wiki/Special:FilePath/Lago%20e%20pobo%20As%20Pontes.jpg
Bergondo,A Coruña,15008,http://www.wikidata.org/entity/Q644018,Q644018,7135,32.85,http://www.concellodebergondo.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Escalinata%20posterior%20Pazo%20Mari%C3%B1%C3%A1n%20II.jpg
Camariñas,A Coruña,15016,http://www.wikidata.org/entity/Q1373985,Q1373985,5075,51.6,https://camarinas.net/portal-cidadan/index/gl,http://commons.wikimedia.org/wiki/Special:FilePath/Pleamar.jpg
Carballo,A Coruña,15019,http://www.wikidata.org/entity/Q166137,Q166137,32120,186.09,http://www.carballo.gal,http://commons.wikimedia.org/wiki/Special:FilePath/Carballo%20Galicia%20005.jpg
Dumbría,A Coruña,15034,http://www.wikidata.org/entity/Q549319,Q549319,2716,125.74,,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20consistorial%20de%20Dumbr%C3%ADa.jpg
Ferrol,A Coruña,15406,http://www.wikidata.org/entity/Q485329,Q485329,64367,82.7,https://www.ferrol.gal/,http://commons.wikimedia.org/wiki/Special:FilePath/Ferrol-021.jpg
Laxe,A Coruña,15117,http://www.wikidata.org/entity/Q1620185,Q1620185,2883,37.48,http://www.concellodelaxe.com/ca/web/index.php,http://commons.wikimedia.org/wiki/Special:FilePath/Cruceiro%20coa%20vila%20de%20Laxe%20ao%20fondo.jpg
Malpica De Bergantiños,A Coruña,15113,http://www.wikidata.org/entity/Q596761,Q596761,5232,61.22,http://www.concellomalpica.com,http://commons.wikimedia.org/wiki/Special:FilePath/Porto%20de%20Malpica.jpg
Miño,A Coruña,15630,http://www.wikidata.org/entity/Q1616112,Q1616112,7108,35.9,https://www.concellodemino.gal,http://commons.wikimedia.org/wiki/Special:FilePath/Playa%20de%20Sumi%C3%B1o%2C%20Mi%C3%B1o.jpg
Muros,A Coruña,15250,http://www.wikidata.org/entity/Q578957,Q578957,8173,73.3,http://www.muros.es/,http://commons.wikimedia.org/wiki/Special:FilePath/Muros.Galiza.04-2008.jpg
Oleiros,A Coruña,15058,http://www.wikidata.org/entity/Q688611,Q688611,38793,43.87,https://www.oleiros.org/,http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20Santa%20Cruz.Oleiros.Galicia.jpg
Ponteceso,A Coruña,15068,http://www.wikidata.org/entity/Q1450823,Q1450823,5268,92.01,http://www.ponteceso.net/,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20consistorial%20de%20Ponteceso.jpg
Barreiros,Lugo,27792,http://www.wikidata.org/entity/Q1634820,Q1634820,3036,72.42,https://www.concellodebarreiros.gal,http://commons.wikimedia.org/wiki/Special:FilePath/Villamart%C3%ADn%20Peque%C3%B1o%2C%20en%20el%20municipio%20de%20Barreiros%20%28Lugo%2C%20Espa%C3%B1a%29.jpg
Burela,Lugo,27902,http://www.wikidata.org/entity/Q1619456,Q1619456,9630,8.2,http://www.burela.org,http://commons.wikimedia.org/wiki/Special:FilePath/Burela%2C%20en%20Lugo%20%28Espa%C3%B1a%29.jpg
Cervo,Lugo,27013,http://www.wikidata.org/entity/Q1616622,Q1616622,4137,78,http://www.concellodecervo.com,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Cipri%C3%A1n%2C%20en%20el%20municipio%20de%20Cervo%20%28Lugo%2C%20Espa%C3%B1a%29.jpg
