nombre,concello,provincia,lat,lon,wikidata,qid,label_wd,label_gl,imagen_url,longitud_wd,lat_wd,lon_wd,municipio_wd,delta_lat,delta_lon
Beach Of As Lapas,A Coruña,A Coruña,43.383666,-8.40575,http://www.wikidata.org/entity/Q18576114,Q18576114,Playa de Las Lapas,As Lapas,http://commons.wikimedia.org/wiki/Special:FilePath/As%20Lapas.jpg,70,43.383636111,-8.405863888,La Coruña,3e-05,0.00011
Beach Of Santo Amaro,A Coruña,A Coruña,43.381833,-8.397055,http://www.wikidata.org/entity/Q20546375,Q20546375,Playa de San Amaro,Santo Amaro,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Coru%C3%B1a%20-%20Playa%20de%20San%20Amaro%20-BT-%2001.jpg,105,43.38163,-8.3966,provincia de La Coruña,0.0002,0.00046
Playa De Oza,A Coruña,A Coruña,43.34675,-8.383083,http://www.wikidata.org/entity/Q12398085,Q12398085,Playa de Oza,praia de Oza,http://commons.wikimedia.org/wiki/Special:FilePath/PraiadeOzaACoru%C3%B1a1.jpg,110,43.346941666,-8.383355555,Santa María de Oza,0.00019,0.00027
Playa Del Matadero,A Coruña,A Coruña,43.371055,-8.404972,http://www.wikidata.org/entity/Q18576276,Q18576276,Playa del Matadero,Praia do Matadoiro,http://commons.wikimedia.org/wiki/Special:FilePath/Coru%C3%B1a%2C%20praia%20do%20Matadoiro%2001-02.JPG,80,43.375622222,-8.403763888,La Coruña,0.00457,0.00121
Praia De Riazor,A Coruña,A Coruña,43.368472,-8.411639,http://www.wikidata.org/entity/Q3399382,Q3399382,Playa de Riazor,praia de Riazor,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Riazor.A%20Coru%C3%B1a%20Galicia.jpg,570,43.368599999,-8.411299999,La Coruña,0.00013,0.00034
Salseira De Caracoleiro,A Laracha,A Coruña,43.315639,-8.610333,http://www.wikidata.org/entity/Q28121860,Q28121860,Salseira de Caracoleiro,Salseira de Caracoleiro,http://commons.wikimedia.org/wiki/Special:FilePath/Salseira%20de%20Caracoleiro.jpg,850,43.3159,-8.6095,Cayón,0.00026,0.00083
Lombiña,A Pobra Do Caramiñal,A Coruña,42.587299056497315,-8.929797373709878,http://www.wikidata.org/entity/Q28121679,Q28121679,Lombiña,Lombiña,http://commons.wikimedia.org/wiki/Special:FilePath/Lombi%C3%B1a.jpg,600,42.5869,-8.930899999,,0.0004,0.0011
A Salsa,Arteixo,A Coruña,43.320555,-8.525277,http://www.wikidata.org/entity/Q28121438,Q28121438,A Salsa,A Salsa,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Salsa.jpg,145,43.3220705,-8.5243496,Arteixo,0.00152,0.00093
Barrañán,Arteixo,A Coruña,43.311556,-8.552,http://www.wikidata.org/entity/Q25509129,Q25509129,Barrañán,praia de Barrañán,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Barra%C3%B1%C3%A1n.JPG,1100,43.311,-8.5512,San Julián de Barrañán,0.00056,0.0008
Combouzas,Arteixo,A Coruña,43.312667,-8.544277,http://www.wikidata.org/entity/Q25509130,Q25509130,Combouzas,praia das Combouzas,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20das%20Combouzas.JPG,300,43.311667,-8.545278,San Julián de Barrañán,0.001,0.001
Playa Valcovo,Arteixo,A Coruña,43.315444,-8.533555,http://www.wikidata.org/entity/Q24024572,Q24024572,Valcovo,Valcovo,,255,43.31597,-8.53393,Arteijo,0.00053,0.00038
Sabón,Arteixo,A Coruña,43.327694,-8.508833,http://www.wikidata.org/entity/Q24003520,Q24003520,Sabón,Praia de Alba,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Sab%C3%B3n%2017V2016.jpg,800,43.32905,-8.50863,Arteijo,0.00136,0.0002
Suevos,Arteixo,A Coruña,43.35271,-8.48791,http://www.wikidata.org/entity/Q28121617,Q28121617,Suevos,Suevos,,145,43.3526,-8.4878,San Martín de Suebos,0.00011,0.00011
As Pontes Lake,As Pontes De García Rodríguez,A Coruña,43.454911751447035,-7.870142559382717,http://www.wikidata.org/entity/Q4802948,Q4802948,Lago de Puentes de García Rodríguez,lago das Pontes,http://commons.wikimedia.org/wiki/Special:FilePath/NorthWest%20Triman%20-%20Iron%20Man%20-%20As%20Pontes%20de%20Garcia%20Rodriguez%20-%2001.jpg,,43.461885671,-7.894869989,,0.00697,0.02473
Gandarío,Bergondo,A Coruña,43.342715,-8.2424927,http://www.wikidata.org/entity/Q24003799,Q24003799,Gandarío,Gandarío,http://commons.wikimedia.org/wiki/Special:FilePath/Playa%20Gandario.jpg,690,43.342222222,-8.238055555,Sada,0.00049,0.00444
Arou,Camariñas,A Coruña,43.184723,-9.105,http://www.wikidata.org/entity/Q28121645,Q28121645,Arou,Arou,http://commons.wikimedia.org/wiki/Special:FilePath/Arou.jpg,130,43.185,-9.105899999,,0.00028,0.0009
Baldaio Beach,Carballo,A Coruña,43.298027,-8.680305,http://www.wikidata.org/entity/Q24003099,Q24003099,Baldaio,praia de Baldaio,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Baldaio.jpg,4000,43.2925,-8.694722222,Lema,0.00553,0.01442
Pedra Do Sal,Carballo,A Coruña,43.301889,-8.658278,http://www.wikidata.org/entity/Q28121663,Q28121663,Pedra do Sal,Pedra do Sal,,300,43.3019,-8.6584,Lema,1e-05,0.00012
Razo,Carballo,A Coruña,43.289696,-8.708778,http://www.wikidata.org/entity/Q28121665,Q28121665,Razo,Razo,http://commons.wikimedia.org/wiki/Special:FilePath/Playa%20de%20Razo.jpg,1300,43.289699999,-8.7124,Razo,0.0,0.00362
Ézaro,Dumbría,A Coruña,42.908278,-9.129083,http://www.wikidata.org/entity/Q28121828,Q28121828,Ezaro,Praia do Ézaro,http://commons.wikimedia.org/wiki/Special:FilePath/Ezaro.jpg,800,42.909199999,-9.129799999,,0.00092,0.00072
Caranza,Ferrol,A Coruña,43.47703822412904,-8.202436910976175,http://www.wikidata.org/entity/Q28121455,Q28121455,Caranza,Caranza,http://commons.wikimedia.org/wiki/Special:FilePath/Playa%20de%20Caranza%2C%20Ferrol%20-%20panoramio%20%281%29.jpg,600,43.477052,-8.203129,Ferrol,1e-05,0.00069
