nombre,provincia,codigo,wikidata,qid
A Coruña,A Coruña,15030,http://www.wikidata.org/entity/Q8757,Q8757
A Laracha,A Coruña,15041,http://www.wikidata.org/entity/Q924043,Q924043
A Pobra Do Caramiñal,A Coruña,15940,http://www.wikidata.org/entity/Q300525,Q300525
Arteixo,A Coruña,15143,http://www.wikidata.org/entity/Q996161,Q996161
As Pontes De García Rodríguez,A Coruña,15320,http://www.wikidata.org/entity/Q1442761,Q1442761
Bergondo,A Coruña,15008,http://www.wikidata.org/entity/Q644018,Q644018
Camariñas,A Coruña,15016,http://www.wikidata.org/entity/Q1373985,Q1373985
Carballo,A Coruña,15019,http://www.wikidata.org/entity/Q166137,Q166137
Dumbría,A Coruña,15034,http://www.wikidata.org/entity/Q549319,Q549319
Ferrol,A Coruña,15406,http://www.wikidata.org/entity/Q485329,Q485329
Laxe,A Coruña,15117,http://www.wikidata.org/entity/Q1620185,Q1620185
Malpica De Bergantiños,A Coruña,15113,http://www.wikidata.org/entity/Q596761,Q596761
Miño,A Coruña,15630,http://www.wikidata.org/entity/Q1616112,Q1616112
Muros,A Coruña,15250,http://www.wikidata.org/entity/Q578957,Q578957
Oleiros,A Coruña,15058,http://www.wikidata.org/entity/Q688611,Q688611
Ponteceso,A Coruña,15068,http://www.wikidata.org/entity/Q1450823,Q1450823
Barreiros,Lugo,27792,http://www.wikidata.org/entity/Q1634820,Q1634820
Burela,Lugo,27902,http://www.wikidata.org/entity/Q1619456,Q1619456
Cervo,Lugo,27013,http://www.wikidata.org/entity/Q1616622,Q1616622
Foz,Lugo,27019,http://www.wikidata.org/entity/Q917878,Q917878
O Vicedo,Lugo,27064,http://www.wikidata.org/entity/Q944524,Q944524
Ribadeo,Lugo,27051,http://www.wikidata.org/entity/Q824076,Q824076
Viveiro,Lugo,27066,http://www.wikidata.org/entity/Q641221,Q641221
Xove,Lugo,27025,http://www.wikidata.org/entity/Q1111013,Q1111013
A Guarda,Pontevedra,36023,http://www.wikidata.org/entity/Q300433,Q300433
A Illa De Arousa,Pontevedra,36901,http://www.wikidata.org/entity/Q300446,Q300446
Baiona,Pontevedra,36300,http://www.wikidata.org/entity/Q748867,Q748867
Bueu,Pontevedra,36004,http://www.wikidata.org/entity/Q1632909,Q1632909
Marín,Pontevedra,36026,http://www.wikidata.org/entity/Q634078,Q634078
Moaña,Pontevedra,36029,http://www.wikidata.org/entity/Q1617430,Q1617430
Poio,Pontevedra,36992,http://www.wikidata.org/entity/Q1631776,Q1631776
Ponte Caldelas,Pontevedra,36043,http://www.wikidata.org/entity/Q1631751,Q1631751
Sanxenxo,Pontevedra,36051,http://www.wikidata.org/entity/Q840355,Q840355
Vigo,Pontevedra,36057,http://www.wikidata.org/entity/Q8745,Q8745
Vilagarcía De Arousa,Pontevedra,36060,http://www.wikidata.org/entity/Q1442637,Q1442637
