nombre,concello,provincia,lat,lon,wikidata,qid
Beach Of As Lapas,A Coruña,A Coruña,43.383666,-8.40575,http://www.wikidata.org/entity/Q18576114,Q18576114
Beach Of Santo Amaro,A Coruña,A Coruña,43.381833,-8.397055,http://www.wikidata.org/entity/Q20546375,Q20546375
Playa De Oza,A Coruña,A Coruña,43.34675,-8.383083,http://www.wikidata.org/entity/Q12398085,Q12398085
Playa Del Matadero,A Coruña,A Coruña,43.371055,-8.404972,http://www.wikidata.org/entity/Q18576276,Q18576276
Praia De Riazor,A Coruña,A Coruña,43.368472,-8.411639,http://www.wikidata.org/entity/Q3399382,Q3399382
Salseira De Caracoleiro,A Laracha,A Coruña,43.315639,-8.610333,http://www.wikidata.org/entity/Q28121860,Q28121860
Lombiña,A Pobra Do Caramiñal,A Coruña,42.587299056497315,-8.929797373709878,http://www.wikidata.org/entity/Q28121679,Q28121679
A Salsa,Arteixo,A Coruña,43.320555,-8.525277,http://www.wikidata.org/entity/Q28121438,Q28121438
Barrañán,Arteixo,A Coruña,43.311556,-8.552,http://www.wikidata.org/entity/Q25509129,Q25509129
Combouzas,Arteixo,A Coruña,43.312667,-8.544277,http://www.wikidata.org/entity/Q25509130,Q25509130
Playa Valcovo,Arteixo,A Coruña,43.315444,-8.533555,http://www.wikidata.org/entity/Q24024572,Q24024572
Sabón,Arteixo,A Coruña,43.327694,-8.508833,http://www.wikidata.org/entity/Q24003520,Q24003520
Suevos,Arteixo,A Coruña,43.35271,-8.48791,http://www.wikidata.org/entity/Q28121617,Q28121617
As Pontes Lake,As Pontes De García Rodríguez,A Coruña,43.454911751447035,-7.870142559382717,http://www.wikidata.org/entity/Q4802948,Q4802948
Gandarío,Bergondo,A Coruña,43.342715,-8.2424927,http://www.wikidata.org/entity/Q24003799,Q24003799
Arou,Camariñas,A Coruña,43.184723,-9.105,http://www.wikidata.org/entity/Q28121645,Q28121645
Baldaio Beach,Carballo,A Coruña,43.298027,-8.680305,http://www.wikidata.org/entity/Q24003099,Q24003099
Pedra Do Sal,Carballo,A Coruña,43.301889,-8.658278,http://www.wikidata.org/entity/Q28121663,Q28121663
Razo,Carballo,A Coruña,43.289696,-8.708778,http://www.wikidata.org/entity/Q28121665,Q28121665
Ézaro,Dumbría,A Coruña,42.908278,-9.129083,http://www.wikidata.org/entity/Q28121828,Q28121828
Caranza,Ferrol,A Coruña,43.47703822412904,-8.202436910976175,http://www.wikidata.org/entity/Q28121455,Q28121455
Doniños,Ferrol,A Coruña,43.495916,-8.319194,http://www.wikidata.org/entity/Q28121846,Q28121846
Esmelle,Ferrol,A Coruña,43.53425,-8.295527,http://www.wikidata.org/entity/Q28121842,Q28121842
Fragata,Ferrol,A Coruña,43.5385,-8.296833,http://www.wikidata.org/entity/Q28121841,Q28121841
San Xurxo,Ferrol,A Coruña,43.526222,-8.301806,http://www.wikidata.org/entity/Q28121843,Q28121843
Laxe,Laxe,A Coruña,43.217206,-9.0029587,http://www.wikidata.org/entity/Q28121874,Q28121874
Maior De Malpica,Malpica De Bergantiños,A Coruña,43.32331266438123,-8.815276501138147,http://www.wikidata.org/entity/Q28121685,Q28121685
Fariones Playa,Miño,A Coruña,43.35928,-8.209444,http://www.wikidata.org/entity/Q24023700,Q24023700
Pequeña De Miño,Miño,A Coruña,43.3495099999242,-8.210029371615443,http://www.wikidata.org/entity/Q28121898,Q28121898
Perbes,Miño,A Coruña,43.376026,-8.214917,http://www.wikidata.org/entity/Q28121893,Q28121893
San Francisco,Muros,A Coruña,42.759113863184346,-9.073862845516617,http://www.wikidata.org/entity/Q28121907,Q28121907
A Aguieira,Oleiros,A Coruña,43.353389,-8.346555,http://www.wikidata.org/entity/Q20545069,Q20545069
Beach Of Bastiagueiro,Oleiros,A Coruña,43.340722,-8.362361,http://www.wikidata.org/entity/Q12398074,Q12398074
Beach Of Santa Cristina,Oleiros,A Coruña,43.339777,-8.380083,http://www.wikidata.org/entity/Q12398093,Q12398093
Mera,Oleiros,A Coruña,43.379055,-8.33775,http://www.wikidata.org/entity/Q12398083,Q12398083
Q28121966,Oleiros,A Coruña,43.382777,-8.3425,http://www.wikidata.org/entity/Q28121966,Q28121966
Balarés,Ponteceso,A Coruña,43.241665,-8.945277,http://www.wikidata.org/entity/Q28122018,Q28122018
Ermida,Ponteceso,A Coruña,43.26389,-8.95,http://www.wikidata.org/entity/Q28122017,Q28122017
Osmo,Ponteceso,A Coruña,43.294167,-8.902778,http://www.wikidata.org/entity/Q28122016,Q28122016
Fontela,Barreiros,Lugo,43.56172,-7.20108,http://www.wikidata.org/entity/Q28122189,Q28122189
San Pedro,Barreiros,Lugo,43.564465,-7.2200447,http://www.wikidata.org/entity/Q28122190,Q28122190
Marosa,Burela,Lugo,43.67486,-7.372333,http://www.wikidata.org/entity/Q28122225,Q28122225
Portelo,Burela,Lugo,43.664399,-7.3592247,http://www.wikidata.org/entity/Q28119618,Q28119618
O Torno,Cervo,Lugo,43.698333,-7.438889,http://www.wikidata.org/entity/Q28122231,Q28122231
A Rapadoira,Foz,Lugo,43.572025,-7.248555,http://www.wikidata.org/entity/Q28122198,Q28122198
Area Da Fame,Foz,Lugo,43.620277,-7.318333,http://www.wikidata.org/entity/Q28122206,Q28122206
Areoura,Foz,Lugo,43.64,-7.344166,http://www.wikidata.org/entity/Q28122216,Q28122216
Llas,Foz,Lugo,43.580277,-7.262778,http://www.wikidata.org/entity/Q9060688,Q9060688
Peizás,Foz,Lugo,43.5875,-7.27861,http://www.wikidata.org/entity/Q28122200,Q28122200
Abrela,O Vicedo,Lugo,43.701822,-7.612778,http://www.wikidata.org/entity/Q28122144,Q28122144
Xilloi,O Vicedo,Lugo,43.743777,-7.650277,http://www.wikidata.org/entity/Q28122158,Q28122158
As Catedrais Beach,Ribadeo,Lugo,43.554221,-7.155308,http://www.wikidata.org/entity/Q2561808,Q2561808
Os Castros,Ribadeo,Lugo,43.55534,-7.132955,http://www.wikidata.org/entity/Q28122005,Q28122005
Beach Of Area,Viveiro,Lugo,43.694166,-7.57611,http://www.wikidata.org/entity/Q6078571,Q6078571
"Beach Of Esteiro, Xuances",Xove,Lugo,43.711944,-7.559139,http://www.wikidata.org/entity/Q28122238,Q28122238
Area Grande,A Guarda,Pontevedra,41.91025,-8.876166,http://www.wikidata.org/entity/Q28120073,Q28120073
O Muíño,A Guarda,Pontevedra,41.876444,-8.862944,http://www.wikidata.org/entity/Q28120087,Q28120087
Area Da Secada,A Illa De Arousa,Pontevedra,42.567972,-8.887111,http://www.wikidata.org/entity/Q12398070,Q12398070
Camaxe,A Illa De Arousa,Pontevedra,42.544389,-8.867499,http://www.wikidata.org/entity/Q28119833,Q28119833
Barbeira,Baiona,Pontevedra,42.12393,-8.84854,http://www.wikidata.org/entity/Q20543479,Q20543479
Concheira,Baiona,Pontevedra,42.12268,-8.85157,http://www.wikidata.org/entity/Q20543488,Q20543488
Os Frades,Baiona,Pontevedra,42.12574,-8.85184,http://www.wikidata.org/entity/Q20543521,Q20543521
Playa Marta,Baiona,Pontevedra,42.11455,-8.83817,http://www.wikidata.org/entity/Q20543497,Q20543497
Praia Da Ribeira,Baiona,Pontevedra,42.12164,-8.84911,http://www.wikidata.org/entity/Q24023109,Q24023109
Praia Ladeira,Baiona,Pontevedra,42.11245394805069,-8.83354753316014,http://www.wikidata.org/entity/Q20543532,Q20543532
Area De Bon,Bueu,Pontevedra,42.314361,-8.818888,http://www.wikidata.org/entity/Q28119957,Q28119957
Lagos,Bueu,Pontevedra,42.324508,-8.825548,http://www.wikidata.org/entity/Q28119956,Q28119956
Lapamán Beach,Bueu,Pontevedra,42.341944,-8.7525,http://www.wikidata.org/entity/Q9060675,Q9060675
Portomaior,Bueu,Pontevedra,42.334527,-8.768388,http://www.wikidata.org/entity/Q28119828,Q28119828
A Coviña,Marín,Pontevedra,42.348889,-8.751444,http://www.wikidata.org/entity/Q28116185,Q28116185
Aguete Beach,Marín,Pontevedra,42.37386,-8.731472,http://www.wikidata.org/entity/Q28119934,Q28119934
Mogor,Marín,Pontevedra,42.385972,-8.719416,http://www.wikidata.org/entity/Q28119933,Q28119933
Portocelo Beach,Marín,Pontevedra,42.390027,-8.71425,http://www.wikidata.org/entity/Q28119932,Q28119932
O Con,Moaña,Pontevedra,42.271083,-8.740527,http://www.wikidata.org/entity/Q28122317,Q28122317
Cabeceira Beach,Poio,Pontevedra,42.422453,-8.6823,http://www.wikidata.org/entity/Q28119930,Q28119930
Xiorto,Poio,Pontevedra,42.422453,-8.6823,http://www.wikidata.org/entity/Q28119914,Q28119914
Ponte Caldelas,Ponte Caldelas,Pontevedra,42.39131,-8.491745,http://www.wikidata.org/entity/Q12397853,Q12397853
A Lanzada,Sanxenxo,Pontevedra,42.43871,-8.87178,http://www.wikidata.org/entity/Q20548158,Q20548158
Agra,Sanxenxo,Pontevedra,42.394619,-8.7702212,http://www.wikidata.org/entity/Q28119911,Q28119911
Areas Beach,Sanxenxo,Pontevedra,42.394638,-8.778805,http://www.wikidata.org/entity/Q6078573,Q6078573
Areas Gordas,Sanxenxo,Pontevedra,42.430972,-8.87261,http://www.wikidata.org/entity/Q24023257,Q24023257
Bascuas,Sanxenxo,Pontevedra,42.404139,-8.858139,http://www.wikidata.org/entity/Q6078602,Q6078602
Beach Of A Lanzada,Sanxenxo,Pontevedra,42.441258,-8.872075,http://www.wikidata.org/entity/Q3398218,Q3398218
Canelas,Sanxenxo,Pontevedra,42.389972,-8.831833,http://www.wikidata.org/entity/Q28119873,Q28119873
Caneliñas,Sanxenxo,Pontevedra,42.39186,-8.82586,http://www.wikidata.org/entity/Q12398075,Q12398075
Foxos,Sanxenxo,Pontevedra,42.427138,-8.873694,http://www.wikidata.org/entity/Q28119890,Q28119890
Lapa,Sanxenxo,Pontevedra,42.434313,-8.8722694,http://www.wikidata.org/entity/Q28119886,Q28119886
Major,Sanxenxo,Pontevedra,42.413694,-8.866583,http://www.wikidata.org/entity/Q28119893,Q28119893
Montalvo Beach,Sanxenxo,Pontevedra,42.398944,-8.848194,http://www.wikidata.org/entity/Q6078910,Q6078910
Paxariñas,Sanxenxo,Pontevedra,42.391639,-8.844083,http://www.wikidata.org/entity/Q12398088,Q12398088
Playa Del Silgar,Sanxenxo,Pontevedra,42.401472,-8.812917,http://www.wikidata.org/entity/Q24019722,Q24019722
Portonovo,Sanxenxo,Pontevedra,42.398722,-8.822555,http://www.wikidata.org/entity/Q6078596,Q6078596
Pragueira,Sanxenxo,Pontevedra,42.409472,-8.862528,http://www.wikidata.org/entity/Q28119894,Q28119894
Q6078544,Sanxenxo,Pontevedra,42.400663,-8.803876,http://www.wikidata.org/entity/Q6078544,Q6078544
Areiño,Vigo,Pontevedra,42.260028,-8.697027,http://www.wikidata.org/entity/Q24003844,Q24003844
