ESPAZO,URL_ESPAZO,ENDEREZO,NUMERO,CÓDIGO POSTAL,CONCELLO,URL_CONCELLO,PROVINCIA,URL_PROVINCIA,TELÉFONO,E-MAIL,AFORAMENTO,WEB,LATITUD,LONGUITUD
Biblioteca Municipal de A Coruña - Fórum Metropolitano,https://www.wikidata.org/wiki/Q85819399,Río Monelos,1,15006,A Coruña,https://www.wikidata.org/wiki/Q8757,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 184 293,forum@coruna.es ,300,https://www.coruna.gal/cultura,43.355733999999998,-8.398987
Teatro Rosalía de Castro,https://www.wikidata.org/wiki/Q12400946,Riego del Agua,37,15003,A Coruña,https://www.wikidata.org/wiki/Q8757,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 134 450,trc@coruna.es ,662,https://www.coruna.gal/cultura,43.370503999999997,-8.3983030000000003
Auditorio Casa da Cultura do Milladoiro,,Travesia do Porto,,15895,Ames,https://www.wikidata.org/wiki/Q1353997,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 535 940,cultura@concellodeames.gal,146,https://www.concellodeames.gal,42.844782000000002,-8.5808649999999993
Casa da Cultura de Bertamiráns,,Praza de Chavián,,15220,Ames,https://www.wikidata.org/wiki/Q1353997,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 884 991,cultura@concellodeames.gal,220,https://www.concellodeames.gal,42.859270000000002,-8.6571739999999995
Auditorio do Centro Cívico Cultural de Arteixo,,Paseo fluvial, ,15142,Arteixo,https://www.wikidata.org/wiki/Q996161,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 641 803,cultura@arteixo.org ,300,https://www.arteixo.org,43.302655999999999,-8.5062960000000007
Auditorio Municipal Cine Alovi,,Avda. de Galicia, ,15320,As Pontes de García Rodríguez,https://www.wikidata.org/wiki/Q1442761,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 440 344,cultura@aspontes.org ,402,https://aspontes.org,43.447347999999998,-7.8536910000000004
Aula Municipal de Cultura de Betanzos,,"Praza de Galicia, Edificio Liceo",1,15300,Betanzos,https://www.wikidata.org/wiki/Q671341,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 770 100,daniel.loza@betanzos.gal,220,https://betanzos.es,43.279001999999998,-8.2107919999999996
Casa da Cultura Ramón Martínez López,,Avda. da Constitución,30,15930,Boiro,https://www.wikidata.org/wiki/Q735282,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 848 425,cultura@boiro.org ,289,http://www.boiro.gal,42.645308,-8.8843350000000001
Cultural Center of Carballo,https://www.wikidata.org/wiki/Q12397271,Rúa do Pan, ,15100,Carballo,https://www.wikidata.org/wiki/Q166137,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 704 300,infocarballo@carballo.org ,350,http://www.carballo.org,43.211587999999999,-8.6952610000000004
Auditorio Municipal de Cedeira,,Rúa Convento,,15350,Cedeira,https://www.wikidata.org/wiki/Q1113395,A Coruña Province,https://www.wikidata.org/wiki/Q82119,649 876 614,enrique.vazquez@cedeira.es,240,http://cedeira.gal,43.661636000000001,-8.0519730000000003
