item,population,coord,officialWebsite,itemLabel
http://www.wikidata.org/entity/Q1353997,33276.0,Point(-8.65 42.86),https://www.concellodeames.gal,Ames
http://www.wikidata.org/entity/Q1353997,33276.0,Point(-8.649594667 42.864976189),https://www.concellodeames.gal,Ames
http://www.wikidata.org/entity/Q1353997,33276.0,Point(-8.672325391 42.89015995),https://www.concellodeames.gal,Ames
http://www.wikidata.org/entity/Q996161,34403.0,Point(-8.5 43.3),http://www.arteixo.org/,Arteijo
http://www.wikidata.org/entity/Q671341,13533.0,Point(-8.2106329 43.2791691),http://www.betanzos.es/,Betanzos
http://www.wikidata.org/entity/Q735282,18967.0,Point(-8.883333333 42.65),http://www.boiro.org/,Boiro
http://www.wikidata.org/entity/Q1619456,9630.0,Point(-7.3582092 43.6604617),http://www.burela.org,Burela
http://www.wikidata.org/entity/Q695477,13787.0,Point(-8.8138414 42.51439),http://www.cambados.es/,Cambados
http://www.wikidata.org/entity/Q695477,13787.0,Point(-8.8138414 42.51439),http://www.cambados.gal,Cambados
http://www.wikidata.org/entity/Q1628188,26711.0,Point(-8.789840959 42.27790245),http://www.cangas.org/,Cangas de Morrazo
http://www.wikidata.org/entity/Q1607558,14249.0,Point(-8.077466 42.429638),http://www.carballino.gal/,Carballino
http://www.wikidata.org/entity/Q166137,32120.0,Point(-8.683333333 43.216666666),http://www.carballo.gal,Carballo
http://www.wikidata.org/entity/Q1113395,6547.0,Point(-8.05 43.65),http://www.cedeira.es,Cedeira
http://www.wikidata.org/entity/Q988707,7731.0,Point(-9.19 42.955555555),https://www.cee.gal,Cee
http://www.wikidata.org/entity/Q1607428,13368.0,Point(-6.983055555 42.416666666),https://www.concellodobarco.gal/,El Barco de Valdeorras
http://www.wikidata.org/entity/Q485329,64367.0,Point(-8.232777777 43.484444444),https://www.ferrol.gal/,Ferrol
http://www.wikidata.org/entity/Q917878,10329.0,Point(-7.2550407 43.5688659),http://www.concellodefoz.es/,Foz
http://www.wikidata.org/entity/Q1607596,15066.0,Point(-8.761388888 42.110833333),https://concellodegondomar.gal/,Gondomar
http://www.wikidata.org/entity/Q8757,251543.0,Point(-8.400027032 43.37385694),https://www.coruna.gal/,La Coruña
http://www.wikidata.org/entity/Q1621191,20112.0,Point(-8.487222222 42.689166666),http://www.aestrada.com/,La Estrada
http://www.wikidata.org/entity/Q1374736,20292.0,Point(-8.1109759 42.6614127),http://www.lalin.gal/,Lalín
http://www.wikidata.org/entity/Q11125,100143.0,Point(-7.557222222 43.011666666),http://concellodelugo.gal/,Lugo
http://www.wikidata.org/entity/Q818341,18933.0,Point(-7.516111111 42.516388888),http://www.monfortedelemos.es/,Monforte de Lemos
http://www.wikidata.org/entity/Q578957,8173.0,Point(-9.0575 42.774444444),http://www.muros.es/,Muros
http://www.wikidata.org/entity/Q1368896,39953.0,Point(-8.1925768 43.5010716),https://www.naron.es/,Narón
http://www.wikidata.org/entity/Q818601,14123.0,Point(-8.887777777 42.785),https://concellodenoia.gal,Noya
http://www.wikidata.org/entity/Q688611,38793.0,Point(-8.328708524 43.3547539),https://www.oleiros.org/,Oleiros
http://www.wikidata.org/entity/Q99151,105769.0,Point(-7.86406 42.33556),http://www.ourense.gal/gl/,Orense
http://www.wikidata.org/entity/Q1375842,5384.0,Point(-7.85 43.683055555),http://concellodeortigueira.gal/,Ortigueira
http://www.wikidata.org/entity/Q12411,83316.0,Point(-8.6475 42.433611111),https://pontevedra.gal/,Pontevedra
http://www.wikidata.org/entity/Q617119,23211.0,Point(-8.5048936 42.1753232),http://www.ponteareas.gal/,Puenteareas
http://www.wikidata.org/entity/Q1442761,9796.0,Point(-7.853109 43.4502183),http://www.aspontes.com,Puentes de García Rodríguez
http://www.wikidata.org/entity/Q833032,28874.0,Point(-8.6 42.283333),http://www.redondela.gal,Redondela
http://www.wikidata.org/entity/Q824076,10022.0,Point(-7.043055555 43.537222222),http://ribadeo.gal/,Ribadeo
http://www.wikidata.org/entity/Q1607619,4214.0,Point(-7.114141666 42.395088888),http://www.arua.es/,Rúa
http://www.wikidata.org/entity/Q1616081,17421.0,Point(-8.276904353 43.34730565),https://www.concellodesada.com/,Sada
http://www.wikidata.org/entity/Q14314,100965.0,Point(-8.533333333 42.883333333),https://santiagodecompostela.gal/,Santiago de Compostela
http://www.wikidata.org/entity/Q1628263,13738.0,Point(-8.731405835 41.9960729),https://tomino.gal,Tomiño
http://www.wikidata.org/entity/Q824122,17468.0,Point(-8.644444 42.048056),https://tui.gal/,Tuy
http://www.wikidata.org/entity/Q8745,294489.0,Point(-8.726666666 42.235833333),http://vigo.gal,Vigo
http://www.wikidata.org/entity/Q1442637,37888.0,Point(-8.743064672 42.5950581),https://vilagarcia.gal,Villagarcía de Arosa
http://www.wikidata.org/entity/Q1616162,6768.0,Point(-9.034444444 43.11),https://www.vimianzo.gal/,Vimianzo
http://www.wikidata.org/entity/Q641221,15120.0,Point(-7.59 43.648055555),http://www.viveiro.es,Vivero
